통계표명:,지역별 인구 및 인구밀도,,,,,,,,,
단위:,"천명, 명/㎢",,,,,,,,,
,2017,,2018,,2019,,2020,,2021,
region,인구,인구밀도,인구,인구밀도,인구,인구밀도,인구,인구밀도,인구,인구밀도
계,51362,512,51585,514,51765,516,51836,516,51745,515
수도권,25476,2149,25660,2164,25851,2179,26021,2193,26054,2195
경기,12786,1255,13027,1279,13241,1299,13452,1319,13612,1335
서울,9766,16136,9697,16023,9657,15956,9618,15891,9502,15699
부산,3424,4447,3403,4420,3381,4391,3356,4358,3327,4320
경남,3339,317,3351,318,3350,318,3340,317,3318,315
인천,2924,2750,2936,2761,2952,2777,2951,2770,2941,2758
경북,2675,141,2675,141,2671,140,2652,139,2641,139
대구,2458,2782,2449,2772,2437,2758,2414,2733,2388,2702
충남,2153,262,2177,265,2189,265,2177,264,2177,264
전북,1829,227,1823,226,1812,225,1806,224,1794,222
전남,1795,146,1796,146,1793,145,1793,145,1783,144
충북,1609,217,1618,218,1629,220,1631,220,1632,220
강원,1521,90,1521,90,1520,90,1519,90,1520,90
대전,1528,2832,1513,2805,1503,2786,1492,2764,1479,2741
광주,1495,2984,1488,2970,1489,2972,1480,2952,1469,2931
울산,1159,1092,1153,1086,1146,1079,1139,1072,1124,1058
제주,635,343,655,354,664,359,669,361,673,364
세종,266,571,302,650,329,709,348,749,366,788
